key	name	regions	arbitrUrl	websiteUrl
fasvvo	Волго-Вятский арбитражный округ	11,13,21,33,37,43,44,52	http://www.arbitr.ru/as/okrug/?id_ac=86	http://fasvvo.arbitr.ru/
fasvso	Восточно-Сибирский арбитражный округ	24,75,38,03,17,19,14	http://www.arbitr.ru/as/okrug/?id_ac=87	http://fasvso.arbitr.ru/
fasdvo	Дальневосточный арбитражный округ	25,27,41,79,87,25,49,65	http://www.arbitr.ru/as/okrug/?id_ac=88	http://fasdvo.arbitr.ru/
faszso	Западно-Сибирский арбитражный округ	42,54,55,04,22,70,72,86,89	http://www.arbitr.ru/as/okrug/?id_ac=89	http://faszso.arbitr.ru/
fasmo	Московский арбитражный округ	50,77	http://www.arbitr.ru/as/okrug/?id_ac=90	http://fasmo.arbitr.ru/
faspo	Поволжский арбитражный округ	16,30,34,58,63,64,73	http://www.arbitr.ru/as/okrug/?id_ac=91	http://faspo.arbitr.ru/
fasszo	Северо-Западный арбитражный округ	29,34,39,47,51,53,60,78,10,69	http://www.arbitr.ru/as/okrug/?id_ac=92	http://fasszo.arbitr.ru/
fassko	Северо-Кавказский арбитражный округ	23,26,01,05,06,07,08,09,15,20,61	http://www.arbitr.ru/as/okrug/?id_ac=93	http://fassko.arbitr.ru/
fasuo	Уральский арбитражный округ	59,02,18,74,66,56,45	http://www.arbitr.ru/as/okrug/?id_ac=94	http://fasuo.arbitr.ru/
fasco	Центральный арбитражный округ	31,32,36,40,46,48,57,62,67,68,71	http://www.arbitr.ru/as/okrug/?id_ac=95	http://fasco.arbitr.ru/
