key	name	regions	websiteUrl
dpbvu	Двинско-Печорское БВУ	11,29,35,51,83	http://www.dpbvu.ru/
amurbvu	Амурское БВУ	41,79,87,75,25,27,28,65	http://www.amurbvu.ru/
vvbvu	Верхне-Волжское БВУ	12,13,21,33,37,76,44,58,52	http://www.vvbvu.ru/
vobvunsk	Верхне-Обское БВУ	04,22,42,54,70	http://www.vobvunsk.ru/
donbvu	Донское БВУ	68,46,48,31,36,61	http://www.donbvu.ru/
enbvu	Енисейское БВУ	17,19,24,38	http://enbvu.krasnoyarsk.ru/
zkbvu	Западно-Каспийское БВУ	05,06,07,08,15,20	http://zkbvu.com/
kambvu	Камское БВУ	02,18,59,43	http://kambvu.ru
kbvu	Кубанское БВУ	01,09,23,26	http://www.kbvu-fgu.ru/
lbvu	Ленское БВУ	14,49	http://www.lbvu.ykt.ru/
mobvu	Московско-Окское БВУ	32,40,50,57,62,69,67,71,77	http://www.m-obvu.ru/
nlbvu	Невско-Ладожское БВУ	47,78,39,10,53,60	http://www.nord-west-water.ru/
nvbvu	Нижне-Волжское БВУ	16,30,34,63,64,73,56	http://www.nvbvu.ru/
nobvu	Нижне-Обское БВУ	45,86,89,66,72,74,55	http://nobwu.ru/
baikalvod	Управление водных ресурсов озера Байкал	38,75,03	http://baikalvod.sdep.ru/
