rdfURL	subjectCode	nameEN	nameRU	codeOKATO	codeKLADR	regType	codeGOST7_67_cyr	codeGOST7_67_dig	codeISO3166_lat2	codeISO3166_lat3	timezoneUTC	taxCode	automobileCodes	federalDistrict	militaryDistrict	economicRegion	cbrCode	borderRegions	borderCountries	isLandlocked	closeSeas	oceanBasin	ammapKey
http://schema.opengovdata.ru/core/regions.owl#Republic_of_Adygea	01	Republic of Adygeya	Республика Адыгея	79000000	0100000000000	республика	РОФ-АДЫ	643-01	RU-AD	RU-ADY	3	01	01	Southern_Federal_District	South_Military_District	North_Caucasus_economic_region	ADG_R	23		yes			RU_AD
http://schema.opengovdata.ru/core/regions.owl#Bashkortostan	02	Bashkortostan	Республика Башкортостан	80000000	0200000000000	республика	РОФ-БАШ	643-109	RU-BA	RU-BAS	5	02	02,102	Volga_Federal_District	Central_Military_District	Urals_economic_region	BASH	16,18,56,59,66,74		yes			RU_BA
http://schema.opengovdata.ru/core/regions.owl#Buryatia	03	Buryatia	Республика Бурятия	81000000	0300000000000	республика	РОФ-БУР	643-113	RU-BU	RU-BUR	8	03	03	Siberian_Federal_District	Central_Military_District	East_Siberian_economic_region	BUR_R	17,38,75	MN	yes			RU_BU
http://schema.opengovdata.ru/core/regions.owl#Altai_Republic	04	Altai Republic	Республика Алтай	84000000	0400000000000	республика	РОФ-АЛР	643-105	RU-AL	RU-ALI	6	04	04	Siberian_Federal_District	Central_Military_District	West_Siberian_economic_region	ALT_R	17,19,22,42	MN,CN,KZ	yes			RU_AL
http://schema.opengovdata.ru/core/regions.owl#Dagestan	05	Dagestan republic	Республика Дагестан	82000000	0500000000000	республика	РОФ-ДАГ	643-117	RU-DA	RU-DAG	3	05	05	North_Caucasian_Federal_District	South_Military_District	North_Caucasus_economic_region	DAG-N	20,26,08	GE,AZ	no	Caspian_sea		RU_DA
http://schema.opengovdata.ru/core/regions.owl#Republic_of_Ingushetia	06	Republic of Ingushetia	Республика Ингушетия	26000000	0600000000000	республика	РОФ-ИНГ	643-121	RU-IN	RU-ING	3	06	06	North_Caucasian_Federal_District	South_Military_District	North_Caucasus_economic_region	ING_R	15,20	GE	yes			RU_IN
http://schema.opengovdata.ru/core/regions.owl#Kabardino-Balkar_Republic	07	Kabardino-Balkar Republic	Кабардино-Балкарская Республика	83000000	0700000000000	республика	РОФ-КАБ	643-125	RU-KB	RU-KAB	3	07	07	North_Caucasian_Federal_District	South_Military_District	North_Caucasus_economic_region	KB_R	09,26,15	GE	yes			RU_KB
http://schema.opengovdata.ru/core/regions.owl#Republic_of_Kalmykia	08	Republic of Kalmykia	Республика Калмыкия	85000000	0800000000000	республика	РОФ-КАИ	643-129	RU-KI	RU-KAI	3	08	08	Southern_Federal_District	South_Military_District	Volga_economic_region	KALM_R	61,34,05,26,30		no	Caspian_sea		RU_KL
http://schema.opengovdata.ru/core/regions.owl#Karachay-Cherkess_Republic	09	Karachay-Cherkess Republic	Карачаево-Черкесская Республика	91000000	0900000000000	республика	РОФ-КАО	643-133	RU-KK	RU-KAO	3	09	09	North_Caucasian_Federal_District	South_Military_District	North_Caucasus_economic_region	KAR_R	23,26,07	GE	yes			RU_KC
http://schema.opengovdata.ru/core/regions.owl#Republic_Of_Karelia	10	Republic of Karelia	Республика Карелия	86000000	1000000000000	республика	РОФ-КАР	643-137	RU-KL	RU-KAR	3	10	10	Northwestern_Federal_District	West_Military_District	Northern_economic_region	KAREL	29,51,35,47	FI	no	White_sea	Arctic_Ocean	RU_KR
http://schema.opengovdata.ru/core/regions.owl#Komi_Republic	11	Komi Republic	Республика Коми	87000000	1100000000000	республика	РОФ-КОМ	643-141	RU-KO	RU-KOM	3	11	11	Northwestern_Federal_District	Central_Military_District	Northern_economic_region	KOMI	29,72,86,89,59,43,66,83		yes			RU_KO
http://schema.opengovdata.ru/core/regions.owl#Mari_El_Republic	12	Mari El Republic	Республика Марий Эл	88000000	1200000000000	республика	РОФ-МАР	643-145	RU-ME	RU-MAR	3	12	12	Volga_Federal_District	Central_Military_District	Volga_Vyatka_economic_region	MARI	43,16,21,52		yes			RU_ME
