subjectCode	nameRU	dbPedia	wikipediaLink	kremlinRuLink	governmentRuLink	minregionLink	leaderName	leaderLink	executivePowerName	executivePowerLink	legislativePowerName	legislativePowerLink	OPalataLink	omudsmanLink
01	Республика Адыгея	http://dbpedia.org/page/Republic_of_Adygea	http://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F	http://news.kremlin.ru/by-region/AD	http://www.government.ru/russia/1/	http://minregion.ru/southern/adygea/	Президент республики	http://www.adygheya.ru/president/status/index.shtml	Кабинет Министров Республики Адыгея	http://www.adygheya.ru	Государственный совет - Хасэ Республики Адыгея	http://gshra.ru/		
02	Республика Башкортостан	http://dbpedia.org/page/Bashkortostan	http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%88%D0%BA%D0%BE%D1%80%D1%82%D0%BE%D1%81%D1%82%D0%B0%D0%BD	http://news.kremlin.ru/by-region/BA	http://www.government.ru/russia/3/	http://minregion.ru/volga/bashkortostan/	Президент республики	http://www.presidentrb.ru/	Правительство Республики Башкортостан	http://www.bashkortostan.ru/	Государственное Собрание - Курултай Республики Башкортостан	http://www.gsrb.ru/	http://op-rb.ru/	http://www.gsrb.ru/6_Upolnom/OmBudsMan/status.php
03	Республика Бурятия	http://dbpedia.org/page/Republic_of_Buryatia	http://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F	http://news.kremlin.ru/by-region/BU	http://www.government.ru/russia/4/	http://minregion.ru/siberian/buryat/	Президент республики	http://president.buryatia.ru/	Правительство Республики Бурятия	http://egov-buryatia.ru/	Народный Хурал Республики Бурятия	http://hural-buryatia.ru/		
04	Республика Алтай	http://dbpedia.org/page/Altai_Republic	http://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%90%D0%BB%D1%82%D0%B0%D0%B9	http://news.kremlin.ru/by-region/AMU	http://www.government.ru/russia/2/	http://minregion.ru/siberian/altai_republic/	Глава республики	http://www.gov.altai-republic.ru/modules.php?op=modload&name=Sections&file=index&req=viewarticle&artid=54&page=1	Правительство Республики	http://www.gov.altai-republic.ru/	Государственное Собрание - Эл Курултай (Парламент) Республики Алтай	http://kurultai.altai-republic.ru/	http://www.op04.ru/	
05	Республика Дагестан	http://dbpedia.org/page/Republic_of_Dagestan	http://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B3%D0%B5%D1%81%D1%82%D0%B0%D0%BD	http://news.kremlin.ru/by-region/DA	http://www.government.ru/russia/5/	http://minregion.ru/north_caucasian/dagestan/	Президент республики	http://president.e-dag.ru/	Правительство Республики Дагестан	http://www.e-dag.ru/	Народное собрание Республики Дагестан	http://www.nsrd.ru/	http://www.opdag.ru/	http://www.dagombu.ru
06	Республика Ингушетия	http://dbpedia.org/page/Ingushetia	http://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D1%83%D1%88%D0%B5%D1%82%D0%B8%D1%8F	http://news.kremlin.ru/by-region/IN	http://www.government.ru/russia/6/	http://minregion.ru/north_caucasian/ingushetia/	Президент республики	http://www.ingushetia.ru/president/index.shtml	Правительство Республики Ингушетия	http://www.ingushetia.ru/	Народное собрание Республики Ингушетия	http://www.parlamentri.ru/		
07	Кабардино-Балкарская Республика	http://dbpedia.org/page/Kabardino-Balkaria	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D0%BE-%D0%91%D0%B0%D0%BB%D0%BA%D0%B0%D1%80%D0%B8%D1%8F	http://news.kremlin.ru/by-region/KB	http://www.government.ru/russia/7/	http://minregion.ru/north_caucasian/kabardino_balkar/	Президент республики	http://www.president-kbr.ru/	Правительство Кабардино-Балкарской республики	http://www.president-kbr.ru/	Парламент Кабардино-Балкарской Республики	http://www.parlament-kbr.ru/		
08	Республика Калмыкия	http://dbpedia.org/page/Kalmykia	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%B8%D1%8F	http://news.kremlin.ru/by-region/KL	http://www.government.ru/russia/8/	http://minregion.ru/southern/kalmykia/	Глава республики	http://glava.region08.ru/	Правительство Республики Калмыкия	http://gov.kalmregion.ru	Народный хурал (Парламент) республики Калмыкия	http://huralrk.ru/		
09	Карачаево-Черкесская Республика	http://dbpedia.org/page/Karachay-Cherkessia	http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D1%87%D0%B0%D0%B5%D0%B2%D0%BE-%D0%A7%D0%B5%D1%80%D0%BA%D0%B5%D1%81%D0%B8%D1%8F	http://news.kremlin.ru/by-region/KC	http://www.government.ru/russia/9/	http://minregion.ru/north_caucasian/karachay_cherkess/	Президент республики	http://www.kchr.info/president.html	Правительство Карачаево-Черкесской Республики 	http://www.kchr.info/	Народное собрание (Парламент) Карачаево-Черкесской республики	http://www.nskchr.net.ru/		
10	Республика Карелия	http://dbpedia.org/page/Republic_of_Karelia	http://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D0%B8%D1%8F	http://news.kremlin.ru/by-region/KR	http://www.government.ru/russia/10/	http://minregion.ru/northwestern/karelia/	Глава республики	http://www.gov.karelia.ru/gov/Leader/index.html	Правительство Республики Карелия	http://www.gov.karelia.ru/	Законодательное собрание Республики Карелия	http://www.karelia-zs.ru/		
